CleanState,APStyle,CleanName,2012Population,2012ViolentCrime,2012Murder,2012ForcibleRape,2012Robbery,2012AggravatedAssault,2012PropertyCrime,2012Burglary,2012LarcenyTheft,2012MotorVehicleTheft,2012Arson,2011Population,2011ViolentCrime,2011Murder,2011Forciblerape,2011Robbery,2011AggravatedAssault,2011PropertyCrime,2011Burglary,2011LarcenyTheft,2011MotorVehicleTheft,2010Population,2010ViolentCrimeTotal,2010Murder,2010ForcibleRape,2010Robbery,2010AggravatedAssault,2010PropertyCrimeTotal,2010Burglary,2010LarcenyTheft,2010MotorVehicleTheft
Texas,Texas,Abilene,"119,886",472,3,38,127,304,"4,393","1,037","3,185",171,18,119526,428,5,33,120,270,4384,1119,3093,172,117063,578,4,68,112,394,4897,1340,3375,182
Ohio,Ohio,Akron,"198,390","1,759",24,167,577,991,"10,034","3,429","5,884",721,103,199256,1779,27,165,718,869,10864,4268,5790,806,199110,1675,23,164,602,886,10947,4262,5933,752
New Mexico,N.M.,Albuquerque,"553,684","4,151",41,278,"1,092","2,740","29,718","6,677","20,298","2,743",86,551961,4207,35,264,998,2910,27976,5985,19168,2823,545852,4291,42,338,940,2971,26372,5465,18134,2773
Virginia,Va.,Alexandria,"145,892",243,0,9,138,96,"2,982",281,"2,375",326,8,141638,252,1,14,129,108,3181,303,2506,372,139966,272,2,22,125,123,3263,317,2658,288
Pennsylvania,Pa.,Allentown,"119,334",653,15,54,374,210,"4,603","1,248","2,987",368,11,118408,647,10,61,339,237,4575,1101,3041,433,118032,732,9,67,460,196,5089,1327,3345,417
Texas,Texas,Amarillo,"196,576","1,278",10,109,278,881,"8,895","2,085","6,181",629,54,194708,1223,10,104,235,874,9388,2016,6756,616,190695,1200,10,102,238,850,11091,2594,7849,648
New York,N.Y.,Amherst Town,"117,591",88,0,7,28,53,"2,261",214,"2,010",37,3,117610,124,0,7,41,76,2004,221,1736,47,117084,119,2,8,33,76,2066,218,1801,47
California,Calif.,Anaheim,"344,526","1,279",15,82,440,742,"10,070","1,605","7,025","1,440",27,340218,1281,15,105,446,715,8493,1410,5964,1119,336265,1161,7,88,492,574,8473,1594,5869,1010
Alaska,Alaska,Anchorage,"299,143","2,479",15,303,488,"1,673","10,543","1,158","8,554",831,97,296955,2388,12,283,465,1628,9455,1080,7750,625,291826,2432,13,264,454,1701,10214,1223,8178,813
Michigan,Mich.,Ann Arbor,"115,008",228,1,36,50,141,"2,726",714,"1,898",114,23,113848,261,0,36,59,166,2549,534,1918,97,113934,286,0,44,76,166,2944,525,2290,129
California,Calif.,Antioch,"105,009","1,068",10,29,372,657,"4,757","1,741","1,920","1,096",51,103575,818,5,21,290,502,3873,1335,1571,967,102372,864,13,32,313,506,3096,1087,1049,960
Texas,Texas,Arlington,"379,295","1,909",17,135,532,"1,225","15,109","3,543","10,616",950,51,373128,1874,22,136,540,1176,17208,4388,11757,1063,365438,1925,16,119,532,1258,19350,4763,13342,1245
Colorado,Colo.,Arvada,"109,029",155,0,22,30,103,"2,610",390,"2,019",201,20,108287,162,1,25,34,102,2546,304,2053,189,106433,136,1,30,28,77,2719,387,2125,207
Georgia,Ga.,Athens-Clarke County,"117,457",454,5,47,158,244,"4,601","1,150","3,208",243,20,117114,417,6,30,132,249,4873,1359,3273,241,115592,371,5,28,111,227,4933,1334,3301,298
Georgia,Ga.,Atlanta,"437,041","6,027",83,113,"2,276","3,555","28,554","6,192","17,212","5,150",103,425533,6097,88,148,2343,3518,30144,7499,17274,5371,420003,5749,93,89,2162,3405,30800,8016,17741,5043
Colorado,Colo.,Aurora,"336,952","1,380",12,172,467,729,"10,078","1,781","7,400",897,72,330740,1448,9,183,504,752,9875,2144,6861,870,325078,1449,24,181,507,737,10056,2291,6875,890
Illinois,Ill.,Aurora,"199,765",563,0,65,125,373,"3,565",944,"2,495",126,29,198495,636,2,58,158,418,3821,947,2740,134,197899,634,4,64,113,453,3767,820,2809,138
Texas,Texas,Austin,"832,901","3,406",32,209,978,"2,187","43,472","7,244","33,913","2,315",121,807022,3471,28,211,1106,2126,42250,7042,33069,2139,790390,3790,38,265,1231,2256,45826,8749,34827,2250
California,Calif.,Bakersfield,"355,696","1,929",34,57,697,"1,141","17,754","4,994","9,540","3,220",208,351568,1866,18,39,548,1261,14840,4321,8123,2396,347483,2104,33,34,641,1396,15197,4235,8507,2455
Maryland,Md.,Baltimore,"625,474","8,792",219,317,"3,605","4,651","29,149","7,770","17,397","3,982",244,626848,8886,197,341,3457,4891,29824,8615,17010,4199,620961,9316,223,265,3336,5492,28280,7573,16298,4409
Louisiana,La.,Baton Rouge,"231,500","2,507",66,64,"1,033","1,344","12,059","3,826","7,751",482,187,231592,2468,64,51,893,1460,12666,4220,7946,500,229493,2534,69,51,948,1466,12465,3963,7812,690
Texas,Texas,Beaumont,"120,323","1,242",13,76,408,745,"5,824","1,828","3,717",279,49,120785,1069,13,65,356,635,6656,2035,4336,285,118296,900,10,65,312,513,5941,1611,4041,289
Washington,Wash.,Bellevue,"126,022",161,2,26,67,66,"3,503",685,"2,649",169,24,124283,140,1,23,58,58,3539,607,2775,157,122363,138,0,10,59,69,3769,657,2905,207
California,Calif.,Berkeley,"114,961",500,4,43,336,117,"5,689",962,"4,086",641,13,113903,482,1,19,340,122,5064,976,3460,628,112580,533,5,23,365,140,5943,1088,4240,615
Montana,Mont.,Billings,"106,371",370,4,38,68,260,"4,810",793,"3,606",411,14,105095,313,2,36,36,239,4693,669,3689,335,104170,283,2,25,42,214,5023,848,3813,362
Alabama,Ala.,Birmingham,"213,266","3,237",67,152,983,"2,035","14,788","4,704","9,042","1,042",117,213258,3163,54,182,1011,1916,17841,5806,10522,1513,212237,1343,20,81,416,826,8637,2608,5299,730
Idaho,Idaho,Boise,"211,569",565,1,76,64,424,"5,312",915,"4,241",156,55,207945,510,1,66,59,384,5328,809,4347,172,205671,544,3,93,58,390,5740,892,4688,160
Massachusetts,Mass.,Boston,"630,648","5,266",57,249,"1,910","3,050","18,349","3,325","13,400","1,624",,621359,5252,63,271,1904,3014,19445,3482,14064,1899,617594,5819,73,256,1926,3564,20628,3587,15004,2037
Connecticut,Conn.,Bridgeport,"146,030","1,760",22,388,606,744,"5,153","1,377","2,908",868,25,144496,1447,20,116,610,701,5607,1540,3025,1042,144229,1412,22,57,561,772,4683,1448,2377,858
Texas,Texas,Brownsville,"181,102",473,3,38,125,307,"8,337","1,145","6,986",206,20,178706,500,1,37,109,353,8187,1009,7015,163,175023,563,7,31,165,360,9316,1286,7784,246
New York,N.Y.,Buffalo,"262,434","3,380",48,138,"1,388","1,806","13,454","3,976","8,371","1,107",255,262484,3250,36,121,1459,1634,14305,4473,8711,1121,261310,3599,55,157,1466,1921,14753,4296,9027,1430
California,Calif.,Burbank,"105,057",243,2,24,111,106,"2,493",383,"1,911",199,10,104555,191,1,17,68,105,2555,395,1926,234,103340,221,0,13,98,110,2687,478,1933,276
Massachusetts,Mass.,Cambridge,"106,981",431,1,20,135,275,"3,091",502,"2,482",107,8,105803,479,5,24,152,298,3159,539,2465,155,105162,476,0,22,171,283,3232,483,2569,180
California,Calif.,Carlsbad,"107,879",265,2,26,55,182,"2,109",497,"1,463",149,7,106566,210,4,11,35,160,1970,468,1375,127,105328,195,0,20,41,134,1820,399,1313,108
Texas,Texas,Carrollton,"124,477",180,2,7,75,96,"3,414",771,"2,358",285,10,121603,206,3,4,93,106,3322,896,2152,274,119097,184,4,4,63,113,3510,897,2256,357
North Carolina,N.C.,Cary,"141,016",115,0,11,29,75,"1,912",370,"1,477",65,8,136949,108,1,13,41,53,2093,370,1658,65,135234,120,1,14,35,70,2179,535,1580,64
Iowa,Iowa,Cedar Rapids,"128,401",356,3,43,97,213,"4,723",966,"3,503",254,30,126988,358,2,41,86,229,4879,1099,3566,214,126326,386,2,38,123,223,4985,1028,3716,241
Colorado,Colo.,Centennial,"104,022",157,1,40,33,83,"1,440",278,"1,085",77,16,102125,162,0,27,23,112,1353,325,957,71,100377,160,0,19,26,115,1456,274,1122,60
Arizona,Ariz.,Chandler,"242,721",628,4,64,149,411,"6,571","1,147","5,168",256,78,239466,681,2,62,171,446,7416,1344,5741,331,236123,691,6,61,195,429,7516,1373,5766,377
